,number,value,datetime_start,datetime_complete,duration,params_activation,params_bottleneck_size,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_dropout_l6,params_lr,params_n_layers,params_optimizer,user_attrs_bottleneck,user_attrs_decoder_dropout1,user_attrs_decoder_dropout2,user_attrs_decoder_dropout3,user_attrs_decoder_dropout4,user_attrs_decoder_dropout5,user_attrs_decoder_dropout6,user_attrs_decoder_final,user_attrs_decoder_layer1,user_attrs_decoder_layer2,user_attrs_decoder_layer3,user_attrs_decoder_layer4,user_attrs_decoder_layer5,user_attrs_decoder_layer6,user_attrs_encoder_dropout1,user_attrs_encoder_dropout2,user_attrs_encoder_dropout3,user_attrs_encoder_dropout4,user_attrs_encoder_dropout5,user_attrs_encoder_dropout6,user_attrs_encoder_layer1,user_attrs_encoder_layer2,user_attrs_encoder_layer3,user_attrs_encoder_layer4,user_attrs_encoder_layer5,user_attrs_encoder_layer6,state
27,27,0.9868342280387878,2023-04-05 16:44:05.243731,2023-04-05 16:44:13.875784,0 days 00:00:08.632053,3,72,0.058257992160558464,0.050081514045928505,0.057847730646109284,0.40997062464588035,0.09690406670351098,0.005482955734165008,3.1617159020761124e-05,6,SGD,"[48, 72]",0.058257992160558464,0.050081514045928505,0.057847730646109284,0.40997062464588035,0.09690406670351098,0.005482955734165008,"[10422, 193]","[72, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.058257992160558464,0.050081514045928505,0.057847730646109284,0.40997062464588035,0.09690406670351098,0.005482955734165008,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",PRUNED
28,28,0.37737688422203064,2023-04-05 16:44:13.876606,2023-04-05 16:46:03.290166,0 days 00:01:49.413560,5,89,0.11855232574581354,0.2223751516059294,0.0941695228838584,0.30552287887933277,0.18224222228801643,,5.647287705241878e-05,5,RMSprop,"[48, 89]",0.11855232574581354,0.2223751516059294,0.0941695228838584,0.30552287887933277,0.18224222228801643,,"[6031, 193]","[89, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",,0.11855232574581354,0.2223751516059294,0.0941695228838584,0.30552287887933277,0.18224222228801643,,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",,COMPLETE
29,29,0.6569194197654724,2023-04-05 16:46:03.291309,2023-04-05 16:46:43.422019,0 days 00:00:40.130710,1,101,0.0082248324270352,0.03290501414720415,0.03086022216750211,0.4165331210787462,0.05063942716238415,0.14686089245091963,0.00015665420735767465,6,Adagrad,"[48, 101]",0.0082248324270352,0.03290501414720415,0.03086022216750211,0.4165331210787462,0.05063942716238415,0.14686089245091963,"[10422, 193]","[101, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.0082248324270352,0.03290501414720415,0.03086022216750211,0.4165331210787462,0.05063942716238415,0.14686089245091963,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",PRUNED
30,30,0.6899711489677429,2023-04-05 16:46:43.422890,2023-04-05 16:47:00.987389,0 days 00:00:17.564499,4,111,0.19005811683463092,0.10277580700433592,0.000590191965578306,0.46687297168237313,0.06889881134212651,0.15698556080157114,2.1594044545255004e-05,6,Adam,"[48, 111]",0.19005811683463092,0.10277580700433592,0.000590191965578306,0.46687297168237313,0.06889881134212651,0.15698556080157114,"[10422, 193]","[111, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.19005811683463092,0.10277580700433592,0.000590191965578306,0.46687297168237313,0.06889881134212651,0.15698556080157114,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",PRUNED
31,31,0.3089163601398468,2023-04-05 16:47:00.988238,2023-04-05 16:53:51.171962,0 days 00:06:50.183724,4,97,0.13439877291055724,0.08185026535633134,0.04719088530444736,0.3621378569451404,0.008111967433846241,7.406294134621317e-05,4.00205289658748e-05,6,Adam,"[48, 97]",0.13439877291055724,0.08185026535633134,0.04719088530444736,0.3621378569451404,0.008111967433846241,7.406294134621317e-05,"[10422, 193]","[97, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.13439877291055724,0.08185026535633134,0.04719088530444736,0.3621378569451404,0.008111967433846241,7.406294134621317e-05,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",COMPLETE
32,32,0.2407837063074112,2023-04-05 16:53:51.173099,2023-04-05 17:00:41.378680,0 days 00:06:50.205581,4,98,0.07286542267227576,0.0304621681818059,0.042929785901494155,0.3810755382518565,0.003869650121263994,0.012422674885276642,5.330133449360045e-05,6,Adam,"[48, 98]",0.07286542267227576,0.0304621681818059,0.042929785901494155,0.3810755382518565,0.003869650121263994,0.012422674885276642,"[10422, 193]","[98, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.07286542267227576,0.0304621681818059,0.042929785901494155,0.3810755382518565,0.003869650121263994,0.012422674885276642,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",COMPLETE
33,33,0.25262609124183655,2023-04-05 17:00:41.379818,2023-04-05 17:02:34.786880,0 days 00:01:53.407062,4,100,0.06830816505955771,0.08514808962980791,0.09846694160219334,0.39791711247797945,0.002626689625248517,,5.626109833300944e-05,5,Adam,"[48, 100]",0.06830816505955771,0.08514808962980791,0.09846694160219334,0.39791711247797945,0.002626689625248517,,"[6031, 193]","[100, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",,0.06830816505955771,0.08514808962980791,0.09846694160219334,0.39791711247797945,0.002626689625248517,,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",,COMPLETE
34,34,0.9436392188072205,2023-04-05 17:02:34.788068,2023-04-05 17:02:37.404203,0 days 00:00:02.616135,3,85,0.06620368430604723,0.09941031744286011,0.11093876619192723,0.40479686926729025,0.012334172790457874,,6.200207512795242e-05,5,Adam,"[48, 85]",0.06620368430604723,0.09941031744286011,0.11093876619192723,0.40479686926729025,0.012334172790457874,,"[6031, 193]","[85, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",,0.06620368430604723,0.09941031744286011,0.11093876619192723,0.40479686926729025,0.012334172790457874,,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",,PRUNED
35,35,0.7844828963279724,2023-04-05 17:02:37.404985,2023-04-05 17:02:39.929394,0 days 00:00:02.524409,4,100,0.04419757499658457,0.07786165122165706,0.054851495536133124,0.498483419170603,0.06841571890390268,,0.00014107030145931422,5,RMSprop,"[48, 100]",0.04419757499658457,0.07786165122165706,0.054851495536133124,0.498483419170603,0.06841571890390268,,"[6031, 193]","[100, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",,0.04419757499658457,0.07786165122165706,0.054851495536133124,0.498483419170603,0.06841571890390268,,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",,PRUNED
36,36,0.9858644604682922,2023-04-05 17:02:39.930195,2023-04-05 17:02:48.920482,0 days 00:00:08.990287,1,97,0.07751157492180472,0.12234029754850423,0.10692646074861037,0.3959640540372725,0.004842617312168555,0.11180840426066285,1.4965430435846456e-05,6,Adagrad,"[48, 97]",0.07751157492180472,0.12234029754850423,0.10692646074861037,0.3959640540372725,0.004842617312168555,0.11180840426066285,"[10422, 193]","[97, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.07751157492180472,0.12234029754850423,0.10692646074861037,0.3959640540372725,0.004842617312168555,0.11180840426066285,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",PRUNED
37,37,0.27305445075035095,2023-04-05 17:02:48.921296,2023-04-05 17:03:15.731717,0 days 00:00:26.810421,2,117,0.12918215570457783,0.08274057337694024,0.17828159828481055,0.3190317490924982,,,6.125490508262474e-05,4,Adam,"[48, 117]",0.12918215570457783,0.08274057337694024,0.17828159828481055,0.3190317490924982,,,"[3088, 193]","[117, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,,0.12918215570457783,0.08274057337694024,0.17828159828481055,0.3190317490924982,,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,,COMPLETE
