,number,value,datetime_start,datetime_complete,duration,params_activation,params_bottleneck_size,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_lr,params_n_layers,params_optimizer,user_attrs_bottleneck,user_attrs_decoder_dropout1,user_attrs_decoder_dropout2,user_attrs_decoder_dropout3,user_attrs_decoder_dropout4,user_attrs_decoder_dropout5,user_attrs_decoder_final,user_attrs_decoder_layer1,user_attrs_decoder_layer2,user_attrs_decoder_layer3,user_attrs_decoder_layer4,user_attrs_decoder_layer5,user_attrs_encoder_dropout1,user_attrs_encoder_dropout2,user_attrs_encoder_dropout3,user_attrs_encoder_dropout4,user_attrs_encoder_dropout5,user_attrs_encoder_layer1,user_attrs_encoder_layer2,user_attrs_encoder_layer3,user_attrs_encoder_layer4,user_attrs_encoder_layer5,state
21,21,0.7330440878868103,2023-04-04 18:03:07.713393,2023-04-04 18:03:08.348541,0 days 00:00:00.635148,4,115,0.22546842272029913,0.13275071328885113,0.3055652766109169,0.1589166626618001,,0.00011200400356007855,4,Adam,"[48, 115]",0.22546842272029913,0.13275071328885113,0.3055652766109169,0.1589166626618001,,"[3088, 193]","[115, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,0.22546842272029913,0.13275071328885113,0.3055652766109169,0.1589166626618001,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,PRUNED
22,22,0.31101709604263306,2023-04-04 18:03:08.349279,2023-04-04 18:03:35.231592,0 days 00:00:26.882313,4,107,0.17112466740132593,0.1820708962547609,0.4046376350345332,0.11390422588814525,,0.0003322078782489016,4,Adam,"[48, 107]",0.17112466740132593,0.1820708962547609,0.4046376350345332,0.11390422588814525,,"[3088, 193]","[107, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,0.17112466740132593,0.1820708962547609,0.4046376350345332,0.11390422588814525,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,COMPLETE
23,23,0.29279494285583496,2023-04-04 18:03:35.232813,2023-04-04 18:05:29.119675,0 days 00:01:53.886862,4,88,0.1604487178748672,0.19944891946785914,0.4129258238396522,0.1316031686470765,0.15250363301582873,0.0004332494310509304,5,Adam,"[48, 88]",0.1604487178748672,0.19944891946785914,0.4129258238396522,0.1316031686470765,0.15250363301582873,"[6031, 193]","[88, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.1604487178748672,0.19944891946785914,0.4129258238396522,0.1316031686470765,0.15250363301582873,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",COMPLETE
24,24,0.28498581051826477,2023-04-04 18:05:29.120744,2023-04-04 18:07:23.427021,0 days 00:01:54.306277,4,85,0.15272500114059187,0.099851553704771,0.49962153164068657,0.14586645512187701,0.1424010949375877,0.0003453460785282958,5,Adam,"[48, 85]",0.15272500114059187,0.099851553704771,0.49962153164068657,0.14586645512187701,0.1424010949375877,"[6031, 193]","[85, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.15272500114059187,0.099851553704771,0.49962153164068657,0.14586645512187701,0.1424010949375877,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",COMPLETE
25,25,0.7719670534133911,2023-04-04 18:07:23.428081,2023-04-04 18:07:26.045875,0 days 00:00:02.617794,0,84,0.15469324479587576,0.08666390147409811,0.4944276683756931,0.19750192174391829,0.1352103501803112,0.0002547999378411904,5,Adam,"[48, 84]",0.15469324479587576,0.08666390147409811,0.4944276683756931,0.19750192174391829,0.1352103501803112,"[6031, 193]","[84, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.15469324479587576,0.08666390147409811,0.4944276683756931,0.19750192174391829,0.1352103501803112,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",PRUNED
26,26,0.21857941150665283,2023-04-04 18:07:26.046878,2023-04-04 18:09:19.967676,0 days 00:01:53.920798,2,70,0.07679008053892142,0.10071623452691525,0.4818957914168582,0.14324300416416086,0.16667541641080597,0.000293190919316637,5,Adam,"[48, 70]",0.07679008053892142,0.10071623452691525,0.4818957914168582,0.14324300416416086,0.16667541641080597,"[6031, 193]","[70, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.07679008053892142,0.10071623452691525,0.4818957914168582,0.14324300416416086,0.16667541641080597,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",COMPLETE
27,27,0.7468554377555847,2023-04-04 18:09:19.968691,2023-04-04 18:09:22.507301,0 days 00:00:02.538610,2,62,0.08547767220991834,0.11221200777258249,0.49411960965771146,0.0032605354836920675,0.17206041343759093,0.00015404984818151283,5,RMSprop,"[48, 62]",0.08547767220991834,0.11221200777258249,0.49411960965771146,0.0032605354836920675,0.17206041343759093,"[6031, 193]","[62, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.08547767220991834,0.11221200777258249,0.49411960965771146,0.0032605354836920675,0.17206041343759093,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",PRUNED
28,28,0.27862846851348877,2023-04-04 18:09:22.508164,2023-04-04 18:11:11.470950,0 days 00:01:48.962786,2,69,0.04632028445287967,0.09531962601756015,0.4532802016863073,0.18672583407976268,0.17871036281894925,0.0006981853691916818,5,Adagrad,"[48, 69]",0.04632028445287967,0.09531962601756015,0.4532802016863073,0.18672583407976268,0.17871036281894925,"[6031, 193]","[69, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.04632028445287967,0.09531962601756015,0.4532802016863073,0.18672583407976268,0.17871036281894925,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",COMPLETE
29,29,0.8420101404190063,2023-04-04 18:11:11.472522,2023-04-04 18:11:14.047488,0 days 00:00:02.574966,2,68,0.028576598930643654,0.08613293018663597,0.4687242288270619,0.21617895798620396,0.22770800516448425,0.001940038518108834,5,Adagrad,"[48, 68]",0.028576598930643654,0.08613293018663597,0.4687242288270619,0.21617895798620396,0.22770800516448425,"[6031, 193]","[68, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.028576598930643654,0.08613293018663597,0.4687242288270619,0.21617895798620396,0.22770800516448425,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",PRUNED
30,30,0.2957752048969269,2023-04-04 18:11:14.049217,2023-04-04 18:13:03.403959,0 days 00:01:49.354742,2,70,0.051700545693379105,0.022585501911718153,0.44684039428428246,0.24492387157494247,0.09521378461099742,0.0006635079423160188,5,Adagrad,"[48, 70]",0.051700545693379105,0.022585501911718153,0.44684039428428246,0.24492387157494247,0.09521378461099742,"[6031, 193]","[70, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.051700545693379105,0.022585501911718153,0.44684039428428246,0.24492387157494247,0.09521378461099742,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",COMPLETE
