,number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_initializer,params_lr,params_n_layers,params_neurons,params_optimizer,params_output_initializer,state
54,54,0.6723552942276001,2023-05-18 17:17:06.066239,2023-05-18 17:17:13.390797,0 days 00:00:07.324558,sigmoid,1,0.0022755750819486564,2,128,2,0,COMPLETE
55,55,0.7214491128921509,2023-05-18 17:17:13.393007,2023-05-18 17:17:21.708227,0 days 00:00:08.315220,gelu,1,0.0015076750990879254,4,128,1,0,COMPLETE
56,56,0.6973574757575989,2023-05-18 17:17:21.709395,2023-05-18 17:17:28.213722,0 days 00:00:06.504327,relu,0,0.0007158765614663589,2,128,2,0,COMPLETE
57,57,0.6656814455986023,2023-05-18 17:17:28.214643,2023-05-18 17:17:35.095804,0 days 00:00:06.881161,sigmoid,1,0.00034516813963171296,3,512,2,1,COMPLETE
58,58,0.8061935424804687,2023-05-18 17:17:35.096715,2023-05-18 17:17:41.707952,0 days 00:00:06.611237,selu,1,0.0012055006896572976,3,128,0,0,COMPLETE
59,59,0.6734367847442627,2023-05-18 17:17:41.708811,2023-05-18 17:17:49.489753,0 days 00:00:07.780942,sigmoid,1,0.0019729584673958737,4,256,2,0,COMPLETE
60,60,0.6749238610267639,2023-05-18 17:17:49.490724,2023-05-18 17:17:56.294634,0 days 00:00:06.803910,sigmoid,1,0.0006323656318521035,2,128,3,1,COMPLETE
61,61,0.6667092204093933,2023-05-18 17:17:56.295565,2023-05-18 17:18:03.097383,0 days 00:00:06.801818,sigmoid,1,0.0003606836426247745,3,512,2,1,COMPLETE
62,62,0.6698930859565735,2023-05-18 17:18:03.098344,2023-05-18 17:18:09.852614,0 days 00:00:06.754270,sigmoid,1,0.0004696566463883445,3,512,2,1,COMPLETE
63,63,0.6641735911369324,2023-05-18 17:18:09.853666,2023-05-18 17:18:16.688109,0 days 00:00:06.834443,sigmoid,1,0.00030082934443827517,2,512,2,1,COMPLETE
64,64,0.6639622807502746,2023-05-18 17:18:16.689016,2023-05-18 17:18:24.290615,0 days 00:00:07.601599,sigmoid,1,0.00019962160472958542,2,512,2,1,COMPLETE
65,65,0.6799689173698426,2023-05-18 17:18:24.291527,2023-05-18 17:18:31.286677,0 days 00:00:06.995150,tanh,0,0.00017975859974505982,2,512,2,1,COMPLETE
66,66,0.663821005821228,2023-05-18 17:18:31.287583,2023-05-18 17:18:38.337078,0 days 00:00:07.049495,sigmoid,1,0.00030373443548671847,2,512,2,1,COMPLETE
67,67,0.6661442637443542,2023-05-18 17:18:38.339002,2023-05-18 17:18:44.896259,0 days 00:00:06.557257,sigmoid,1,0.00029444320801540414,2,512,2,1,COMPLETE
68,68,1.2445006132125855,2023-05-18 17:18:44.897160,2023-05-18 17:18:53.877969,0 days 00:00:08.980809,relu,1,0.00018393151391369767,7,512,2,1,COMPLETE
69,69,0.9509562373161315,2023-05-18 17:18:53.879250,2023-05-18 17:19:00.183697,0 days 00:00:06.304447,linear,1,0.00013063477925709296,2,512,1,1,COMPLETE
70,70,0.664058244228363,2023-05-18 17:19:00.184672,2023-05-18 17:19:06.738995,0 days 00:00:06.554323,sigmoid,1,0.00027053421119240635,2,512,2,1,COMPLETE
71,71,0.6646387100219726,2023-05-18 17:19:06.740075,2023-05-18 17:19:13.526232,0 days 00:00:06.786157,sigmoid,1,0.00026380880431821395,2,512,2,1,COMPLETE
72,72,0.6640083909034729,2023-05-18 17:19:13.527136,2023-05-18 17:19:19.904196,0 days 00:00:06.377060,sigmoid,1,0.00020650358699859142,2,512,2,1,COMPLETE
73,73,0.6633131861686706,2023-05-18 17:19:19.905077,2023-05-18 17:19:26.819921,0 days 00:00:06.914844,sigmoid,1,0.0001962878245375596,2,512,2,1,COMPLETE
74,74,0.6630833745002747,2023-05-18 17:19:26.821000,2023-05-18 17:19:33.769829,0 days 00:00:06.948829,sigmoid,1,7.86968378047695e-05,2,512,2,1,COMPLETE
75,75,0.697373342514038,2023-05-18 17:19:33.770749,2023-05-18 17:19:41.730495,0 days 00:00:07.959746,gelu,1,7.854556830371751e-05,3,512,2,1,COMPLETE
76,76,0.6635882973670959,2023-05-18 17:19:41.731423,2023-05-18 17:19:48.668735,0 days 00:00:06.937312,sigmoid,1,7.573063894911906e-05,2,512,2,1,COMPLETE
